{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3995, 'x': 190.563, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.796, 'thr4': 22.094, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3640}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4358, 'x': 190.563, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.895, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.597, 'thr4': 21.696, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4005}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4358, 'x': 190.563, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.895, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.597, 'thr4': 21.696, 'thr5': 21.994, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4368}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4723, 'x': 190.563, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.895, 'thr1': -273.15, 'thr2': 21.796, 'thr3': 21.597, 'thr4': 21.696, 'thr5': 21.994, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4368}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4723, 'x': 190.563, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.696, 'thr4': 21.994, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4368}
{'lat': 'n/a', 'lon': 'n/a', 'time': 5087, 'x': 190.563, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.696, 'thr4': 21.994, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4733}
{'lat': 'n/a', 'lon': 'n/a', 'time': 5816, 'x': 190.563, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.796, 'thr4': 21.895, 'thr5': 22.094, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 5825}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6178, 'x': 190.563, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.796, 'thr4': 21.895, 'thr5': 22.094, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 5825}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6543, 'x': 190.563, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.1, 'thr0': 21.895, 'thr1': -273.15, 'thr2': 21.597, 'thr3': 21.399, 'thr4': 21.696, 'thr5': 21.895, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 6553}
{'lat': 'n/a', 'lon': 'n/a', 'time': 6906, 'x': 190.563, 'y': -0.688, 'z': 172.375, 'watertmp': 25.7, 'depth': 0.2, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.895, 'thr4': 22.094, 'thr5': 22.193, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.0, 'cel2': 1.9, 'cel3': 2.5, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 6553}
