{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 2897, 'x': 185.938, 'y': -0.375, 'z': 172.125, 'watertmp': 24.5, 'depth': 0.1, 'thr0': 21.201, 'thr1': -64.965, 'thr2': 21.597, 'thr3': 21.399, 'thr4': 21.003, 'thr5': 21.3, 'cur0': 0.1, 'cur1': 0.1, 'cur2': 0.1, 'cel0': 0.1, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2908}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3623, 'x': 185.938, 'y': -0.375, 'z': 172.125, 'watertmp': 24.5, 'depth': 0.1, 'thr0': 21.201, 'thr1': -64.965, 'thr2': 21.696, 'thr3': 21.498, 'thr4': 21.201, 'thr5': 21.399, 'cur0': 0.1, 'cur1': 0.1, 'cur2': 0.1, 'cel0': 0.1, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3269}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3623, 'x': 185.938, 'y': -0.375, 'z': 172.125, 'watertmp': 24.5, 'depth': 0.1, 'thr0': 21.201, 'thr1': -63.254, 'thr2': 21.696, 'thr3': 21.498, 'thr4': 21.102, 'thr5': 21.3, 'cur0': 0.1, 'cur1': 0.1, 'cur2': 0.1, 'cel0': 0.1, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3269}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3986, 'x': 185.938, 'y': -0.375, 'z': 172.125, 'watertmp': 24.5, 'depth': 0.1, 'thr0': 20.904, 'thr1': -63.254, 'thr2': 21.696, 'thr3': 21.498, 'thr4': 21.102, 'thr5': 21.3, 'cur0': 0.1, 'cur1': 0.1, 'cur2': 0.1, 'cel0': 0.1, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3633}
{'lat': 'n/a', 'lon': 'n/a', 'time': 3986, 'x': 185.938, 'y': -0.375, 'z': 172.125, 'watertmp': 24.5, 'depth': 0.1, 'thr0': 20.904, 'thr1': -63.254, 'thr2': 21.399, 'thr3': 21.498, 'thr4': 21.102, 'thr5': 21.102, 'cur0': 0.1, 'cur1': 0.1, 'cur2': 0.1, 'cel0': 0.1, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3633}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4348, 'x': 185.938, 'y': -0.375, 'z': 172.125, 'watertmp': 24.5, 'depth': 0.1, 'thr0': 20.904, 'thr1': -63.254, 'thr2': 21.399, 'thr3': 21.498, 'thr4': 21.102, 'thr5': 21.102, 'cur0': 0.1, 'cur1': 0.1, 'cur2': 0.1, 'cel0': 0.1, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3996}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4348, 'x': 185.938, 'y': -0.375, 'z': 172.125, 'watertmp': 24.5, 'depth': 0.1, 'thr0': 21.201, 'thr1': -64.965, 'thr2': 21.696, 'thr3': 21.498, 'thr4': 21.201, 'thr5': 21.3, 'cur0': 0.1, 'cur1': 0.1, 'cur2': 0.1, 'cel0': 0.1, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3996}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4711, 'x': 185.938, 'y': -0.375, 'z': 172.125, 'watertmp': 24.5, 'depth': 0.1, 'thr0': 21.201, 'thr1': -64.965, 'thr2': 21.696, 'thr3': 21.498, 'thr4': 21.201, 'thr5': 21.3, 'cur0': 0.1, 'cur1': 0.1, 'cur2': 0.1, 'cel0': 0.1, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4358}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4711, 'x': 185.938, 'y': -0.375, 'z': 172.125, 'watertmp': 24.5, 'depth': 0.1, 'thr0': 21.102, 'thr1': -64.965, 'thr2': 21.498, 'thr3': 21.399, 'thr4': 21.102, 'thr5': 21.3, 'cur0': 0.1, 'cur1': 0.1, 'cur2': 0.1, 'cel0': 0.1, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4358}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4711, 'x': 185.938, 'y': -0.375, 'z': 172.125, 'watertmp': 24.5, 'depth': 0.1, 'thr0': 21.102, 'thr1': -64.965, 'thr2': 21.498, 'thr3': 21.399, 'thr4': 21.102, 'thr5': 21.3, 'cur0': 0.1, 'cur1': 0.1, 'cur2': 0.1, 'cel0': 0.1, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.8, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4721}
