{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.26, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 909}
{'lat': 'n/a', 'lon': 'n/a', 'time': 980, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.26, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.26, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -86.987, 'thr2': 17.26, 'thr3': 17.26, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -86.987, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -86.987, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -86.987, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 990}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1062, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -86.987, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1072}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1145, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -86.987, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1072}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1145, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1072}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1145, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.063, 'thr4': 17.652, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.4, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1072}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1145, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.063, 'thr4': 17.652, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1072}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1228, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.063, 'thr4': 17.652, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1155}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1228, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -86.987, 'thr2': 16.965, 'thr3': 17.063, 'thr4': 17.652, 'thr5': 17.456, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1155}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1228, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -86.987, 'thr2': 16.965, 'thr3': 17.063, 'thr4': 17.751, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1155}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1228, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -86.987, 'thr2': 16.965, 'thr3': 17.063, 'thr4': 17.751, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.2, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1155}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1228, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -86.987, 'thr2': 16.965, 'thr3': 17.063, 'thr4': 17.751, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1155}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1228, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -86.987, 'thr2': 16.965, 'thr3': 17.063, 'thr4': 17.751, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1238}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1310, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -86.987, 'thr2': 16.965, 'thr3': 17.063, 'thr4': 17.751, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1238}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1310, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 16.965, 'thr3': 17.063, 'thr4': 17.751, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1238}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1310, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.9, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1238}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1310, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1238}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1310, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1319}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1391, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.358, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1319}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1391, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.358, 'thr4': 17.849, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1319}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1391, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.358, 'thr4': 17.947, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1319}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1391, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.358, 'thr4': 17.947, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1319}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1391, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.045, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.358, 'thr4': 17.947, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1401}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1475, 'x': 183.375, 'y': -0.188, 'z': 173.125, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.537, 'thr1': -273.15, 'thr2': 17.063, 'thr3': 17.358, 'thr4': 17.947, 'thr5': 17.751, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1401}
